drug	Gcv2	His7	Trp3	Aro2	Lys1	Hom2	Aro3	Car1	Sam4	Sui2	Gcv3	Rnr4	Pdc1	Pyc2	Tps3	Tsl1	Pgm2	Ald4	Hxk1	Pda1	Idp1	Tal1	Hxt3	Pgk1	Pmi40	Hog1	Cwp1	Mdh2	Erg3	Erg10	Lsc1	Pdr5	Dur1	Uga1	Gpd2	Gpd1	Ahp1	Grx1	Uth1	Yhb1	Tsa1	Sod1	Trx2	Ssa2	Ssa1	Ssa4	Ypk1	Sti1	Bat2	Tdh1	Hsp12	Hsp104	Hsp78	Nth1	Sse1	Hsc82	Tps1	Nsr1	Hsp42	Aha1	Hsp26	Ydj1	Pre4	Htb2	Bmh1	BY4741
Flu rep1 MIC/2	0.19422361	0.12839544	0.18519923	0.08069963	-0.14183399	0.38027835	0.15646997	0.20567693	0.14203896	-0.009865472	0.14402461	0.0105390325	0.190354	0.14276086	0.27421078	-0.042800073	-0.16616592	0.15076947	-0.2324718	0.09660369	-0.010760569	0.06675832	0.87750995	0.13299683	0.23454206	0.13001448	0.10366143	0.46548107	1.318499	0.54763037	0.14531773	0.5392251	0.29880863	0.095370784	0.1837759	0.29060206	0.015241314	0.024864385	0.12924072	0.8365616	0.22572258	0.28664646	0.16627114	0.12465727	-0.10334766	0.08051601	0.160707	0.017947115	0.21097152	-0.039741706	0.0071321763	0.07078133	0.041336805	0.15298787	-0.085658945	0.15209386	0.11928534	-0.09831477	-0.0062353574	0.22492139	-0.096910134	0.3479103	0.06138075	0.08580146	0.097355604	-0.16938761
Flu rep1 MIC	0.116516255	0.107640125	0.2541867	0.134841	-0.110084645	0.23439251	0.15171199	0.40648335	0.1669441	-0.10012139	0.055535324	0.026892163	0.33036917	0.101784006	0.27299777	-0.1990312	-0.42272815	0.038105506	-0.5254955	0.04909839	0.019693201	0.1761628	0.93003905	0.18645388	0.36696354	0.18273744	0.25648615	0.141329	1.3913736	0.67606306	-0.06911083	0.5628696	0.26394495	-0.026535774	0.04500004	0.49417648	0.6063041	-0.09631992	0.018304449	0.8789683	0.27609587	0.35108927	0.33512574	0.24605644	-0.14217196	-0.17559445	0.09114383	0.0829759	0.26134777	-0.21123806	-0.14335173	0.09212013	-0.026140194	0.17967542	-0.26820555	0.19308133	0.13413534	-0.2841159	-0.05092761	0.20561534	-0.3239981	0.4874739	0.0500303	0.07314425	0.13342133	-0.26295146
Flu rep2 MIC/2	0.11225193	0.14463179	0.100677736	0.093353726	-0.016143795	-0.08673976	0.071472675	0.010405856	-0.13977288	-0.049648438	0.14027794	-0.042565886	-0.0344711	0.11662317	0.0719078	0.07187541	-0.011561385	-0.00999284	-0.22721668	-0.22237696	-0.13807407	-0.03385139	0.48519203	0.13396247	-0.1265465	-0.10450543	-0.35254806	-0.39868033	0.96071595	0.1824965	-0.12789273	0.7100461	0.13331455	0.21356156	-0.16514756	0.5969118	-0.115500405	-0.3977283	-0.05568748	0.6268864	-0.09629722	-0.14243335	-0.10493215	-0.025857566	0.03548981	-0.02148242	0.30550542	-0.1468719	0.040456288	-0.046002273	0.11232432	0.26716715	0.2460022	0.2846129	0.016073572	0.012095259	0.5265107	-0.44269174	0.025792815	-0.009348068	-0.07815498	0.0336112	0.055572227	-0.08802713	0.06926274	-0.10882781
Flu rep2 MIC	0.26932105	0.16109651	0.16673973	-0.20361455	-0.265491	-0.3868614	-0.08966872	0.24439882	-0.37442714	-0.013354241	0.3068288	0.1037978	0.05552291	0.19631352	0.43231836	0.42595562	0.15480776	-0.0061608274	-0.3123439	-0.045016203	-0.16548719	0.02230939	0.48135898	0.3037862	0.26440695	0.081568934	-0.16785865	-0.32489687	0.87080634	0.28619394	-0.17570722	1.2774014	0.34659272	0.50553584	-0.2553321	1.0716447	0.18741536	-0.6133924	0.08221971	0.72886664	-0.033739943	-0.08159722	0.18450522	0.17363642	0.3193087	-0.0366876	0.6179464	-0.031724058	0.30566433	0.11776642	-0.031018369	0.71994704	0.2344469	0.32366243	-0.2894093	0.15708397	0.83026683	-0.78566855	0.4404699	0.14965829	-0.075867094	0.032755714	0.056190178	-0.09061428	0.2775357	0.013941951
Flu rep3 MIC/2	0.6645929	0.31502336	0.4010395	0.29480863	0.13833305	0.45747045	0.34452456	0.38761058	0.07838408	0.27836722	0.56331754	0.04984805	0.09573874	0.23761961	0.3034105	0.44337574	0.4905837	0.41062164	0.5493429	0.4112838	0.46953648	0.24974063	0.84262735	0.1154179	0.33934197	0.2054726	-0.12922008	0.45895225	1.4634017	0.6189161	0.35134083	1.1406584	0.22662577	0.44841707	0.050590347	0.4059301	-0.19896418	0.24313723	0.04441013	0.8986667	0.18754357	0.10247427	-0.30803257	0.06957318	0.2831299	0.33790496	0.4325368	0.06967462	-0.024878167	0.65856063	0.515513	0.3678353	0.2612324	0.2927175	0.15014657	0.004877943	0.49923423	0.006222994	0.2916628	-0.007945424	0.32663396	0.06273674	0.13534889	0.052350134	0.23367877	0.26411182
Flu rep3 MIC	0.281756	0.09824626	0.33074883	-0.11671738	-0.37876302	0.12563387	0.117170334	-0.031091822	-0.37257922	0.20844053	0.43563923	0.11947675	0.056601334	0.0037687165	0.35173428	0.7955351	0.752995	0.2509151	0.5749091	0.57648677	0.3201641	0.3547916	0.5056478	0.42441005	0.30482477	0.012755976	-0.4894465	0.34031603	0.89912665	0.8426655	0.40412354	1.7840513	0.46633303	0.8961928	0.0018704741	1.1476033	-0.44658938	0.13908508	0.07000463	0.7344742	0.3995176	0.15398552	0.26658854	0.32017556	0.5393524	0.3425572	0.9115063	-0.14806762	-0.30513003	1.9335879	0.35922825	1.0826633	0.48264956	0.63932294	0.060884893	0.19010966	1.2023531	-0.5570523	0.7927876	-0.05370962	0.17705724	0.045946755	0.10391895	0.08829783	0.5856042	0.13140045
Vor rep1 MIC/2	0.3815856	0.14392157	0.45376936	-0.0015559919	-0.12435478	-0.09248068	0.16607419	0.35552102	-0.46811682	0.20853311	0.35528722	0.30577955	0.24539167	-0.07896822	0.52876514	0.7796019	0.6739283	0.38101044	0.45530325	0.56590605	0.26901063	0.35210407	0.86279523	0.45381933	0.28380802	0.2344545	-0.3445469	0.10704526	1.5790071	0.7717396	0.28833708	2.3673422	0.35515225	0.8697862	-0.0757393	1.1213998	0.5733591	0.13141772	0.11127706	0.9694106	0.32315636	0.19863313	0.21141349	0.15450293	0.5515421	0.18673103	0.89298594	0.22007124	0.07961661	1.0678093	0.81361985	1.2985007	0.5725533	0.8130043	0.024550945	0.20578803	1.4447285	-0.6916843	0.92304116	0.1690578	0.17206822	0.048323393	0.17095928	0.04287871	0.7230772	0.14197895
Vor rep1 MIC	0.4680996	0.15323828	0.56363505	-0.09419124	-0.088660315	-0.14717536	0.25381848	0.4060433	-0.5884997	0.1339623	0.4882074	0.41063264	0.37734637	-0.11455357	0.813325	1.4078358	1.1322042	0.4312419	0.76789194	0.7669353	0.34454542	0.43495458	0.84011585	0.68945324	0.34831592	0.29594925	-0.67467713	0.16113588	1.4836903	0.85394615	0.43977052	2.6748157	0.36202273	1.2678406	-0.10364792	1.2856699	0.5491466	0.15769464	0.06966545	0.9086006	0.47582272	0.30689928	-0.35150307	0.22013474	0.8555937	0.23945984	1.043238	0.2798235	-0.025573594	1.7367057	1.1596034	1.6975309	0.605897	0.9751357	-0.1346846	0.26601198	1.9680225	-1.004324	1.345826	0.3153074	0.16135442	0.060038503	0.25101367	0.054130472	0.90164775	0.34366393
Vor rep2 MIC/2	0.43735674	0.03923167	0.31670827	0.05140811	-0.021648264	-0.029570896	0.030090706	0.28777945	-0.2587614	0.24326335	0.60374606	0.088062756	0.120264776	0.020554941	0.45733154	0.6011376	0.38702822	0.35334608	0.09436527	0.34239754	0.21410371	0.21569237	0.91376585	0.3371757	0.215336	0.22151425	-0.10876874	-0.14656469	1.3921539	0.61124456	0.34963557	1.84852	0.74232745	0.60807294	0.002893113	0.87309253	0.16017935	0.1224612	0.18107611	0.79381204	0.042313986	0.02153291	-0.35428703	0.13137235	0.33539936	0.21609484	0.70592034	-0.0028995296	0.36368483	0.57289726	0.4743928	0.77366865	0.36687818	0.42162853	-0.06392591	0.12014737	0.99269253	-0.6851337	0.6079576	0.1020513	0.11716478	0.0027230096	0.092804074	0.012941775	0.50813156	0.034352154
Vor rep2 MIC	0.3105444	0.013513511	0.27456728	-0.14019956	-0.08439065	-0.28069872	0.13086651	0.16013886	-0.4041337	0.1764366	0.4334758	0.066757336	0.08228664	-0.09153023	0.42026109	0.7351865	0.37725633	0.19509086	-0.16756114	0.2990077	0.058210604	0.12574421	0.69843876	0.5795786	0.15985979	0.11516211	-0.47686365	-0.14070162	1.1590158	0.5888555	0.24418002	2.2014387	0.7169865	0.7475926	0.0063067293	1.1187669	0.10674439	0.06592424	0.097895496	0.7156669	0.06094705	-0.20194516	-0.59413713	0.21784887	0.4342164	0.0939852	0.86871386	-0.075865194	0.2260561	1.2236581	0.38816488	1.0332983	0.2894226	0.56212723	-0.00824999	0.18103833	1.3384702	-0.84117293	0.8259347	0.14121033	0.14111178	-0.0142754745	0.112715974	-0.09745504	0.6360467	0.035776388
