drug	Gcv2	His7	Trp3	Aro2	Lys1	Hom2	Aro3	Car1	Sam4	Sui2	Gcv3	Rnr4	Pdc1	Pyc2	Tps3	Tsl1	Pgm2	Ald4	Hxk1	Pda1	Idp1	Tal1	Hxt3	Pgk1	Pmi40	Hog1	Cwp1	Mdh2	Erg3	Erg10	Lsc1	Pdr5	Dur1	Uga1	Gpd2	Gpd1	Ahp1	Grx1	Uth1	Yhb1	Tsa1	Sod1	Trx2	Ssa2	Ssa1	Ssa4	Ypk1	Sti1	Bat2	Tdh1	Hsp12	Hsp104	Hsp78	Nth1	Sse1	Hsc82	Tps1	Nsr1	Hsp42	Aha1	Hsp26	Ydj1	Pre4	Htb2	Bmh1	BY4741
Flu rep1 MIC/2	10.727383924850455	8.143192340269172	9.319150726972325	6.5561111221855	-6.4242840170577	17.942133863468147	7.049182142546678	14.987806044311537	9.670725317171252	2.696864318458667	7.783298255850321	2.51400124954211	32.35478452170121	3.3591932406142564	9.54720592651446	0.7227166999348362	-6.856701534062792	8.630397290558362	-15.986113097543212	4.911710644363163	1.944639782885015	7.669356482320048	98.83292289962516	24.702142646592847	11.276454853230296	7.31650405198043	5.623004374393967	25.92201224035538	129.29796688637066	45.496477923653394	7.575730455485108	33.837539562584325	10.001919968091748	5.560010241677682	13.666284944320765	22.235907635392174	1.7416714327919844	2.48481784135578	4.500244245933782	79.24660827570898	33.1666060151865	34.87815177973477	9.952598869582012	16.828186690466847	-6.8747447966714645	1.2890190850228045	8.285948038914942	3.491251040644136	16.006865547111435	-1.0942568440054514	1.2835901500092195	6.853418626327325	3.52512334299716	7.018167228336972	-1.880769103763356	24.164152479051243	8.457258857526675	-10.783877147948788	1.3155676019136813	12.691330153784612	-0.0364119438507919	30.832878484841576	6.3150635598181	12.234532109419684	15.659885167166758	0.0
Flu rep1 MIC	8.762354577384235	8.573833167659656	7.336764589265533	10.5255462788962	-3.68201746592207	12.554936386807974	8.248433354454178	29.97744868002938	11.953730804952915	2.714866732685245	5.020160569491039	5.429355386337724	57.744967857894565	3.0718651005271416	6.123690821899709	-3.9420783787712574	-16.519121545784547	4.120403580782383	-31.08230693057908	4.486485290284623	4.562700007243247	17.35638313680108	96.39538570089596	34.94335147995673	18.44939042832117	10.55287010096597	10.9876077753911	9.377393801795298	125.4178292815908	58.06851268996971	1.8732582937250777	34.704468742712805	10.636007869493373	2.857435323329641	6.530485125916809	36.64717772831851	71.17560709681167	1.6013097670358702	3.943311833662427	80.99587727323281	41.95212512186961	45.99850892814715	21.22858627201351	35.10717017636694	-10.047404962787372	-0.2936040529166963	6.783689638486133	11.358731907998594	20.631584711667085	-10.77562152516341	-2.662851891093513	9.260879222782044	2.1815337019241103	6.276091811517099	-9.378307941569568	32.08605197874083	9.963605351393866	-32.066642428951056	1.3044978154085771	12.971912916996525	-2.9432693051728527	47.69672301643314	6.544729078209281	11.28501292608352	21.68552947739745	0.0
Flu rep2 MIC/2	5.337760960244786	11.307135681573238	9.286257817663502	9.080384067811234	-0.1158574811622532	-4.521323930813476	6.702093199901417	2.3643507055069137	-8.511968022309242	1.57292153818343	9.817076118278823	-5.573848173740041	-5.06342661027516	4.948036228812376	4.7236245518595625	5.462109415893655	1.4722129800409949	1.8258238155791744	-14.996821455108693	-8.878988172278506	-5.930956557148687	-0.7357203808872456	74.37397604038063	28.216037622045565	-4.324437666305397	-2.410313310106364	-10.891418633044186	-23.631271988696103	119.66490129696636	20.84880619827605	-2.0555980417372344	59.097932566067946	7.270275913295724	10.201466692147166	-13.21307268075738	54.47075366582367	-15.293953937318792	-8.767724730094871	1.337567278591759	74.80328514418986	-17.545186646188654	-21.03935161175949	-2.174750746216307	-5.2281705761772415	4.40806531549921	0.6933313207956063	15.965702839586902	-22.32972460982297	4.875897783223476	-0.8823829969437805	4.497238779770838	22.24806351129842	13.440823852677925	13.20235548074336	3.059195756373816	2.7519919446833567	36.143974994580695	-70.05311950152948	2.290126511953961	1.1622499843898582	0.284863722351114	6.410119163291681	7.696882754518969	-14.22198544889775	12.886063566712672	0.0
Flu rep2 MIC	8.067404468235404	8.164527810083955	8.977671852648095	-10.77053424472271	-16.514046653915518	-23.985485026602795	-4.910963677951012	21.44563028115695	-23.681076690240616	-0.5235230455909351	15.12819646660616	14.303621866417366	8.225922196241838	7.09394494716997	12.983501859161306	16.39774359581127	5.967798114782807	-0.5185303811309052	-20.092537512543693	-2.209505240422643	-8.626695021727985	0.8089414204404893	71.32534771149177	56.73834775288197	12.308787842227202	3.1230354100977618	-6.125877773620381	-19.36550605769962	95.77898402013842	26.284966463908308	-5.1297259132040285	113.213647265429	11.946134094400383	17.903733753431403	-20.491402287021938	87.45915234125661	26.36463048862801	-13.522558709105134	1.416525849821369	79.9530224371556	-5.876059188423521	-11.897921860147314	6.320893559191722	35.92306652664159	41.25532066096905	-0.6981133891190616	32.50714711455859	-4.955051893940988	22.782614475929257	5.023595213809715	-0.9711121975506212	56.185181131851536	8.936948901688748	9.403107408691072	-16.35292402455508	31.849222783122404	50.96750268987695	-106.25965021611836	9.44325860075646	9.691879312466853	-1.684381126767077	4.288035595807296	4.9447525593828034	-14.098375750389062	40.94271797486471	0.0
Flu rep3 MIC/2	1.6488696492997588	3.686158847935572	14.585603413911825	10.325103024244394	9.153622867424833	23.28063031085307	10.699860268953618	9.045935735219604	-0.2898187988446902	-1.0450109304556974	17.82166086629463	4.332694698014962	21.29516587550645	4.49491651798196	6.708452035180905	9.352612839853702	12.581524719597802	12.91889953072062	28.90712735626065	10.13883439735566	16.806797867226027	20.80752397537373	91.508367278963	23.320154967440107	13.065819089865776	3.650332057364535	-9.623756349579606	3.2956099991960195	100.67512845280989	52.34609289352869	4.550182282157058	77.93608314060263	2.2908993665897666	8.392681492421133	-1.1568974256927247	32.05140609163264	-25.61781282625013	0.4396940427723441	-4.83493598452159	89.45422602074113	29.44858958267637	11.701895529508205	-11.602185677068588	14.850859879187029	33.46918825221804	1.239769866242241	11.454628925336683	7.203643941462096	-6.0427803110425	23.49323491519156	7.822744950877174	22.867259131916686	4.468580516058945	3.3973260122112605	3.7114245427488872	-0.0198958308858922	21.91673433097645	-2.0600222963858754	1.7930145853362514	-5.558140974250324	1.6337451832796928	5.216690832791237	7.272528841865494	5.948062180318785	30.27933315425144	0.0
Flu rep3 MIC	8.700771505841264	2.6931067599287988	14.815964141386944	-8.619932588909409	-34.59776497181551	4.574315445980703	2.5728090089821563	-4.225764075595704	-23.987647168754883	0.5938830326346437	15.470335244462074	14.33226560662156	10.519982269373084	-1.034344603803702	11.247306003437686	25.58012629748515	24.90078011637778	8.270254816322309	32.917001979703386	19.409497477995995	11.626987297778925	34.15027267630559	52.05500626064671	73.71849366882267	14.524417119151153	-2.1091888998520067	-20.83391857173199	16.225530459223524	62.19847391733932	77.54181307734234	7.329196988930751	157.3570892315725	15.031271270219554	28.37070153716454	-2.3384013355337387	108.06616041271909	-58.70339586540861	0.6005385662507567	-1.441395906201682	73.26819881512532	61.623514082426205	20.27195851612072	8.12507856704263	66.28002294924815	70.71114084944716	3.418922839007063	40.44958456573457	-22.01750319052968	-23.39884429418074	66.38217702248922	4.960766307517178	81.05207910270165	18.20250579648246	19.2780803183376	1.070080852484909	36.7144445115184	66.81578572503976	-73.2001365558335	14.676186837426012	-5.705725606422464	1.1658429731665247	4.949439912984597	7.039362153768676	12.153984842918538	85.28995057601149	0.0
Vor rep1 MIC/2	12.29936990656288	5.16215008555397	22.374458443127843	-2.91217727734172	-14.390890383798425	-8.265780218859883	5.652270903351023	32.83593508962944	-27.457001165390377	0.991542007848014	13.046174245398566	38.81713208322262	45.82551720672549	-3.9162350463903657	24.075638316196148	21.612959802382104	23.48661516723923	16.61318242565853	24.249881100718763	23.526486633662888	10.853541896236818	36.901766069323685	126.2951728967152	84.34887747351814	13.847819607148478	7.324395396896603	-15.957096959577973	4.297190449031527	146.15009242012448	74.40954839296472	6.243378908465672	245.4202267824972	10.088633816880778	30.379211677032263	-8.612091794769126	101.40232377147832	70.29183997212026	0.2642850488165887	-0.3865388227902018	103.17302821365053	53.51117695382001	26.980682233770167	4.2938633401834965	33.69769024954582	63.87075811942522	1.7105093013875714	28.165982028802578	30.14786683308233	2.8411456003198503	34.20408169413977	14.175626580495797	97.49930461512842	22.686386595153404	28.313600466736087	-1.0487166741092515	40.18110442241157	91.2102802287647	-92.4267070844222	14.508466070566724	6.9796933442234135	1.2921639032116152	4.824200140546907	13.600990295838034	4.777368732973402	106.74285349910048	0.0
Vor rep1 MIC	14.839685364553208	1.3314963722138278	26.15372704735559	-12.798260590564434	-15.006291260080824	-16.563456890028252	6.359630771388448	36.87862593063502	-42.84549759614723	-5.604326669026944	17.79777206727566	53.58142303787426	68.26077564155028	-8.862603190135866	31.977214358263247	53.41691876560436	42.8045223807444	17.054314477828445	39.9553347561418	32.4572578580612	11.97384240163861	41.75962011416648	123.4695125106794	129.98538043247382	13.876508247968015	7.082206129077105	-31.975060600417187	3.8471449078411664	136.44262786484353	67.85041366155797	7.380801193657524	321.98217773771273	6.59114897472815	51.46154730776667	-16.330513153381077	123.8628318278172	62.17153104315784	-3.0711255396523582	-5.738383656865505	94.81064285885142	80.5663129799579	41.44730095632836	-15.873274169842723	48.33827074451665	94.73844189633785	-0.08693138880944	37.41065026501105	38.6162646559135	-8.096152086052633	58.68400846124428	15.9682623330985	140.0292189761065	20.64335759040277	36.02536285370265	-11.97378143138585	52.01423887926482	148.3595153299365	-133.07930829592894	28.831509599299768	13.558947007203686	-1.775567734461028	4.014185849854392	8.481821389602999	5.310737281124626	141.36765482402953	0.0
Vor rep2 MIC/2	16.36037307610502	1.168383991318788	14.577094729938436	1.8547177165865985	-2.3188157580840136	-2.1888358525756777	0.4912800608918121	21.001094916564146	-12.746033054600824	2.9055560737185617	25.13976829560416	10.965225261768763	24.390513147794813	0.1628603365364467	15.487802245204406	18.24533441502165	11.600640392815766	14.33576746590724	4.9473137140003125	12.849837510808706	9.74220541639706	19.901818954420616	126.40219111594747	63.49992156456332	9.455827883796305	8.706915726159345	-3.765266179896881	-7.898718035529719	128.79946975801366	51.0367113744846	9.228044293050733	169.16307541001734	23.037132826046548	18.32773155386565	-0.377699425238616	70.66874525129845	19.488635841556004	1.4439065295538642	2.688593266855532	82.08818431092179	5.986757123121455	2.308630386198748	-15.37530499925805	26.19114493214192	35.957775218393515	2.5483401079308345	19.629982110950618	-0.7661179661716396	18.86264388853948	24.48575467492306	9.697077220390574	51.89957395408998	11.72689155395675	12.91144244085558	-3.7874625370551898	21.05164384328226	53.24975609244279	-84.64438688820277	9.632890863006343	5.504064307377914	1.6694323874786186	-0.0634547772618112	6.929716219724775	1.5383286163066594	66.04104835351842	0.0
Vor rep2 MIC	11.152946167642488	-0.0328669796470766	12.70373643794978	-7.432774802380569	-7.707372540360116	-13.229015911489764	4.239567356853208	11.52774249078968	-18.74611391202378	1.9624687511610328	16.813527243752027	8.348510338328145	15.204111229105964	-1.712719233093511	13.231289554876934	24.68190165132288	11.11216306088931	7.836665696407698	-8.762761654844246	10.749265438752124	1.95604507345502	11.19932297919536	90.16161566464126	104.6774275295076	6.934012892389665	3.94813930483743	-13.609813119750648	-8.023667969009953	104.45188611278157	49.70074007867265	6.259103702337619	231.5401577823867	19.85665152453495	23.58970789204736	-0.1783143184995673	96.16671870620732	12.611774838740244	0.5283032578189685	1.150052210962431	73.26188134711866	8.77682622425944	-23.53614524205509	-25.37902326998107	44.27771751634364	43.60825347877479	0.6721121016196343	24.73751145489713	-10.765836473327562	12.108754278763165	50.742921444366885	7.710144570584418	73.27989051716652	9.06431916299954	18.846659555345035	-1.0586766125476963	32.260272655170034	75.67439133495829	-100.86487164150908	13.122167355661782	7.123932349604685	2.160655760842109	-2.212583811458265	9.243140447924496	-13.63495283384146	89.06528830882199	0.0
