drug	Gcv2	His7	Trp3	Aro2	Lys1	Hom2	Aro3	Car1	Sam4	Sui2	Gcv3	Rnr4	Pdc1	Pyc2	Tps3	Tsl1	Pgm2	Ald4	Hxk1	Pda1	Idp1	Tal1	Hxt3	Pgk1	Pmi40	Hog1	Cwp1	Mdh2	Erg3	Erg10	Lsc1	Pdr5	Dur1	Uga1	Gpd2	Gpd1	Ahp1	Grx1	Uth1	Yhb1	Tsa1	Sod1	Trx2	Ssa2	Ssa1	Ssa4	Ypk1	Sti1	Bat2	Tdh1	Hsp12	Hsp104	Hsp78	Nth1	Sse1	Hsc82	Tps1	Nsr1	Hsp42	Aha1	Hsp26	Ydj1	Pre4	Htb2	Bmh1	BY4741
Flu MIC	8.510176850486967	6.47715591255747	10.376800194433523	-2.9549735182453056	-18.264609697217697	-2.285411064604706	1.970092895161774	15.732438295196877	-11.90499768468086	0.928408906576318	11.872897426853092	11.355080953125551	25.49695744116983	3.0438218146311358	10.118166228166233	12.678597171508388	4.783152228458681	3.9573760053245954	-6.085947487806462	7.228825842619325	2.5209974277647293	17.43853241118239	73.25857989101148	55.13339763388712	15.094198463233175	3.8555722037372413	-5.3240628566537564	2.079139401106401	94.4650957396895	53.96509741040679	1.3575764564839334	101.75840174657144	12.537804411371104	16.377290204641863	-5.433106165546289	77.39083016076474	12.945613906677025	-3.7735701252728355	1.3061472590940382	78.07236617517124	32.56652667195743	18.12418186137352	11.89151946608262	45.77008655075223	33.973018849209616	0.8090684656571018	26.580140439593094	-5.204607725490692	6.671784964471866	20.210050237045174	0.44226740629101463	48.83271315244508	9.773662800031772	11.652426512848592	-8.22038370454658	33.549906424460545	42.58229792210353	-70.50880973363431	8.474647751197017	5.65268887434697	-1.1539358195911351	18.97806617507501	6.17628126378692	3.1135406728709984	49.30606600942455	0.0
Flu MIC/2	5.904671511465001	7.7121622899259945	11.063670652849218	8.65386607141371	0.8711604564016264	12.23381341450258	8.150378537133903	8.799364161679351	0.2896461653391066	1.0749249753954666	11.807345080141259	0.4242825912723438	16.195507928977502	4.2673819958028645	6.993094171184976	5.179146318560732	2.3990120551920016	7.791706878952719	-0.6919357321304188	2.0571856231467724	4.273493697654119	9.247053358935512	88.23842207298958	25.41277841202617	6.672612092263559	2.8521742664128666	-4.964056869409942	1.8621167502850984	116.54599887871564	39.563792338486046	3.356771565301644	56.957185089751626	6.521031749325746	8.051386142081993	-0.23456172070977988	36.2526891309495	-13.056698443592312	-1.947737615322249	0.3342918466679838	81.16803981354666	15.02333631722474	8.513565232494495	-1.2747791845676277	8.816958664492212	10.334169590348596	1.0740400906868839	11.902093267946176	-3.878276542572246	4.946661006430804	7.172198358080776	4.5345246268857435	17.322913756514144	7.14484257057801	7.87261624043053	1.6299503984531156	8.965416197616236	22.17265606102794	-27.632339648621382	1.799569566401298	2.7651463879747156	0.627398987260005	14.153229493641497	7.09482505206752	1.3202029469469065	19.608427296043622	0.0
Vor MIC	3.7701183682811514	-2.7556947007539754	10.456327724884174	-6.383978918652416	-18.479183105520995	-15.373983460600968	1.6053498936578106	18.823816200766817	-25.996669366160067	-3.4153356760401894	12.46011848069098	28.73860435587626	31.04156350445993	-5.279669821022491	14.224341673383671	26.880893833251616	17.97300042164031	6.469051027601729	-1.2495841662978957	15.105829941004751	-1.458953066580862	19.900714413353423	91.82995594490943	90.81101413008867	6.857075463770229	2.2051288001079707	-20.92054068461788	-7.594476106907503	118.01776822005509	45.58932214614901	5.812191567968282	206.2411494721455	7.163694935307802	27.17916017323041	-8.83667060845365	100.4976464197639	30.879198574392973	-3.183552709048175	-3.608264890629785	76.44338164778186	38.97239062663844	11.469738053070031	-20.516085750848887	46.11187166608473	56.62797102839454	0.4247153501679984	23.320109785326594	14.376218861034358	6.893301473039617	36.70579767510155	7.86845183655628	75.89921583301715	12.653615593238504	20.517347410855837	-4.623143500551831	37.42882655043347	85.77752937240838	-91.66962688770978	14.997407166054735	4.061400066718467	-3.559224613405567	-6.8877072362744185	1.9151584370581383	-1.105550703699613	90.02563746192101	0.0
Vor MIC/2	10.462548919934529	4.941645241452848	15.356216746084284	1.4684185809913959	-8.305478288576275	-6.3622316157772465	3.4069409287034316	20.367370920521054	-17.747865142399615	0.5326009310213532	13.877521764094658	30.833645396383712	29.615182319914044	-1.5481995070354297	17.104867604447133	17.270487055318682	14.85583215322275	11.81054117491926	2.102343040132972	13.575726536992477	2.2904547686293593	19.80809144653667	112.8040220585641	58.8823852571775	12.031742965682199	7.159159350140169	-9.881850116636082	-2.0207497413759037	138.51665875430396	62.019169811077425	6.945597938172276	159.56636476166184	11.739621934308495	20.266898732852912	-4.205197739204383	80.7269019233788	9.83363614205041	0.6676954572278953	0.6585282681264569	88.9384934647614	36.137006200633785	15.73524879491186	-14.068804262641223	27.65036675690223	42.04226877833552	2.4941007438622123	20.352816159080295	14.565306206544781	10.866109741492101	21.99505527084828	11.056546413358694	54.695074561799636	14.07044408777404	17.247401161559868	-4.451480489468621	27.512016942369172	53.243515502120744	-73.0351867882663	9.678775841422722	8.883907340521057	0.556282273815724	-2.2122704063685883	8.97256876802037	4.5628986903357935	65.81538084573337	0.0
SDS MIC	7.258350737497452	-8.341662318889222	-3.7867089642679423	-15.105400794038502	-13.079142342640475	-24.53247484746238	-8.473196673528337	-25.330294357152425	-7.903489618994644	-0.21021014202121324	10.823695019780763	-3.050915119693593	-12.153646129126814	-4.294569256277518	-0.14644260590994018	6.262189412106818	-2.2847134347742375	-7.988736152071051	-10.305115589048148	-9.39911220445068	-12.835485261531474	-13.32039724165041	-31.085657789048287	4.938523825702446	-13.879100601722664	-7.40886720850028	8.658359170026742	-33.40966810790672	-26.61220982754737	-16.728604743324833	-4.5416216940561975	5.978770651147452	-5.8379184515599585	1.0471661116141846	-24.585858808132855	45.039116734148855	-6.819706366743301	-0.04585327425460319	-0.06445894179850331	-45.85331561627811	-17.99632257301455	3.7603850368085094	7.127122349114636	10.377553648594866	7.9816375494837	0.28357965583899897	-4.042064510200094	-28.5940585482463	13.096423414849298	14.936025289386686	-3.2141737144082345	14.818968852555253	0.41107712943240937	3.3290686932593005	2.7644789584872953	7.562623745279173	13.219474312230517	-73.59621307978479	2.6112581510752126	-6.116556304268154	-1.2257537825626919	-7.811685853886568	-6.097886425423909	-4.050512820941299	-1.6514784555853506	0.0
SDS MIC/2	-1.5147787378767308	-8.377800528962402	-3.985410874866444	-12.47298091952502	-10.075147246892316	-17.491607895642463	-0.24405280737172563	-32.49535286485243	-8.995344782226011	-1.1037008665155161	3.6092076572682608	-0.7518924358928869	-18.25756491407788	-3.75379005758254	-2.76105568706195	2.9496029700104422	-0.33029761887196124	-7.651138407478986	-5.975995407889734	-8.620740173187594	-12.646771634159899	-17.84701299052139	-25.020941062309728	8.750936735288915	-9.099485539551411	-9.86248183370158	4.662286586373983	-24.296529197501343	-26.584667935125243	-11.347332080540221	-0.08530527650814916	3.100873289587136	-0.7524347663912424	1.5190645510460243	-12.210639819637484	37.676948314894894	-30.224976365986368	-0.7390523378469055	0.38481532451403005	-39.14305819625337	-23.65951401229928	-5.124892336385922	-18.202183029142788	-5.577074114007448	-8.483651463252098	1.855746702082878	-1.9979599697408912	-35.45171358032945	7.909390968184307	23.466332377127284	-1.9531792040775848	8.162019909090288	0.6959356852938837	2.726152856387467	4.311202083227344	-6.027182212300569	4.656653420750396	-45.70811201937223	1.261961022336158	-6.968049926323694	-0.44864017393255223	-11.39248685149022	-5.4942154929391505	-2.8462262290371627	-3.0934231368419525	0.0
11326083 MIC	1.6455222831695966	-10.871335176708973	4.039501361478282	-9.10089141720916	-94.51670030275676	-30.50921225099724	-11.03139327414109	-4.183509609372475	-19.593459862065078	-2.641146773792083	2.037881517593453	-22.874945800838148	14.261365743812398	-5.214242002393196	8.70530876314605	71.14340394375598	78.33915903516191	21.273272921683763	112.20455405158252	35.603071796118655	16.84729681358969	40.19293048218544	-89.46930497853505	29.670109196826257	-0.10053067588309572	-0.4391688350873368	-32.30436108165359	-37.62124965748231	57.669420721166034	-21.302859015305966	11.870515014133781	-42.52970697342149	-9.997980368247328	24.98754913002527	-25.838386591979667	61.19006451951867	157.46292576514597	2.170813712489237	-4.715620006397488	22.690980126657305	30.271637535056986	169.62764291381043	112.55270023652311	-65.11447814622476	97.79421777579525	53.83433325728362	-1.624655826858561	-12.344573723717025	15.20735959944944	90.01044337812635	70.40770742162995	122.15438349765365	68.6532796228566	15.627969544599656	-42.42501574119316	-46.27608695344608	113.77092109286134	-161.95447867003304	16.786170541075588	12.207011214588471	11.487736537415769	-4.54057971322758	15.538973150512772	-44.34155941586934	38.12651330215878	0.0
11326083 MIC/2	11.346331646438472	-6.963822476247603	-0.19033517441431824	-3.0301329177921175	-69.2210024306478	-24.417019349911623	-4.807670308396987	-18.580969904035218	-18.95303582430964	0.7614125245493626	11.638449031719622	-40.60189804013199	5.632177512130887	-4.051185262828832	7.125752844572616	53.08189238338048	59.869395470009856	22.877425196314153	100.6935525414657	33.833634533958524	15.938034429733117	14.118035344443863	-96.00943957869629	25.57962773623355	2.9967269836494825	1.4145798853158993	-19.90796836078155	-26.170279552885933	-7.68384004894359	-20.991473149119557	19.377146399603678	-41.00402423795257	-6.612689230733767	24.952152555495445	-29.40741141692119	28.941268348884886	105.09468828997292	2.054975458254182	0.2315806066402366	-17.77625773329046	12.12568653371892	137.3535800281539	84.29394878414713	-77.90701206533976	93.85680467689092	64.15089729768637	-6.681256144152436	6.175245514384426	-5.845634250801667	67.9271481177274	74.28647129079583	68.76046868151356	48.586774672804836	10.705767012649355	-35.726424852455374	-50.49942888411985	85.30836411719872	-144.69071597917383	20.712225564262663	12.281079659934647	5.775601414703755	-2.4566414381868342	1.7721181615378263	-48.36270307276686	22.964127888913268	0.0
MP MIC	5.943699945431338	-13.915898835769953	5.16810769925864	-6.0420470261977535	-59.35564678808839	-14.620541700448427	1.8148000964385531	-24.375410172609605	-33.34260633815556	-0.750248979387424	14.930753643189158	42.10088693904621	-0.14501695596945532	-5.064743516736272	21.53342368805814	113.10656962113676	124.34904673204169	50.2986150389213	190.85059097114654	38.64629962872671	21.462396830122014	28.36996444936989	-72.10427760711102	71.74050815352625	-11.989898996221791	0.5077930180901719	-25.80207111665531	-17.917416337559352	28.635688817455122	3.0573467708812765	28.348297551943173	-28.68342244304921	1.5730695964074048	64.33125646299048	-6.5301044811219455	87.94092155937385	161.86960253481757	2.493434938448028	-2.7177733741124417	159.1749444750854	55.57820741813916	238.9137183242694	141.6162252272209	-74.5144613868825	146.26438976790203	51.813128226734676	-1.7276476087653532	14.335934036394901	23.141901113030453	192.28841910168697	153.02338918338856	168.37046512709802	90.44436400826027	24.688680585069392	-27.203219959666658	-36.87104599718879	135.56337613152618	-147.54894283263732	31.381020960613963	34.6873681764464	74.29349939980976	-1.794103699879357	15.396338096993148	-71.39891556948378	58.948724881078796	0.0
MP MIC/2	6.505662765605579	-7.717212411703795	7.56569117749292	-7.394431940514523	-47.78379432126724	-10.796819502383116	3.5230939053726904	-22.696673110532245	-30.626919614947592	-0.2687373646175457	12.865842185314923	16.608534732969606	15.231911999194514	-5.852146520720422	18.716536590391478	95.945918935145	103.82494069427798	56.72599353409501	182.85081835777737	37.556867915896724	25.22024984628437	22.091252154188634	-66.82563387939913	64.8038344255181	-2.4166669478595857	3.6540619210881093	-23.17265598976948	-11.39104710693565	28.24523260760201	15.426824352209122	27.757641610213955	-32.54929545785694	3.5927005980748867	42.18152885742406	-10.3665454937863	73.2987625459344	148.8600965236535	3.5393275963849313	2.5729730470466947	148.09033055625395	56.6247517595744	229.94787953050218	117.75077757584366	-36.693867724533916	140.59374191255418	53.44471491718826	-1.6934650769002557	34.62663893970494	8.176263313150168	162.2194448788796	165.2694367996701	145.2316025026464	47.757200936869545	24.326825251469046	-26.50658136125304	-11.115398724237593	106.2854936839038	-127.30933635675005	32.21717982143334	48.32515575017319	72.01760160397147	12.603490286445092	20.183818254117384	-53.85878032184602	59.40288693529799	0.0
