drug	Gcv2	His7	Trp3	Aro2	Lys1	Hom2	Aro3	Car1	Sam4	Sui2	Gcv3	Rnr4	Pdc1	Pyc2	Tps3	Tsl1	Pgm2	Ald4	Hxk1	Pda1	Idp1	Tal1	Hxt3	Pgk1	Pmi40	Hog1	Cwp1	Mdh2	Erg3	Erg10	Lsc1	Pdr5	Dur1	Uga1	Gpd2	Gpd1	Ahp1	Grx1	Uth1	Yhb1	Tsa1	Sod1	Trx2	Ssa2	Ssa1	Ssa4	Ypk1	Sti1	Bat2	Tdh1	Hsp12	Hsp104	Hsp78	Nth1	Sse1	Hsc82	Tps1	Nsr1	Hsp42	Aha1	Hsp26	Ydj1	Pre4	Htb2	Bmh1	BY4741
Flu C0	0.009233333333333333	0.011866666666666666	0.009433333333333334	0.0096	0.011033333333333334	0.006966666666666667	0.0131	0.011466666666666667	0.007133333333333333	0.007533333333333334	0.008	0.010766666666666666	0.009699999999999999	0.011099999999999999	0.008433333333333334	0.0086	0.008833333333333334	0.010233333333333332	0.014666666666666666	0.007733333333333334	0.007933333333333334	0.0062	0.008733333333333333	0.008833333333333334	0.008866666666666667	0.011566666666666668	0.012433333333333333	0.01656666666666667	0.006166666666666667	0.01796666666666667	0.013300000000000001	0.015666666666666666	0.011466666666666667	0.009366666666666667	0.007633333333333333	0.007533333333333334	0.007333333333333333	0.0077333333333333325	0.02093333333333333	0.014499999999999999	0.015866666666666668	0.009633333333333334	0.02626666666666667	0.018866666666666667	0.010666666666666666	0.009066666666666667	0.015666666666666666	0.007166666666666666	0.005866666666666667	0.009266666666666666	0.0138	0.011000000000000001	0.019133333333333336	0.0113	0.014866666666666667	0.0099	0.010233333333333334	0.010466666666666666	0.0065	0.008533333333333334	0.008333333333333333	0.045566666666666665	0.013166666666666667	0.009133333333333334	0.010366666666666665	0.016566666666666667
Flu MIC	0.013	0.0148	0.014400000000000001	0.018333333333333337	0.015733333333333332	0.013999999999999999	0.024866666666666665	0.0183	0.013766666666666665	0.030733333333333335	0.013700000000000002	0.014566666666666667	0.017566666666666664	0.013233333333333333	0.015399999999999999	0.0152	0.017333333333333333	0.020800000000000003	0.01923333333333333	0.025033333333333335	0.015533333333333335	0.017133333333333334	0.0164	0.018366666666666667	0.0151	0.013	0.014833333333333332	0.021599999999999998	0.017766666666666667	0.057699999999999994	0.0199	0.027266666666666665	0.029099999999999997	0.017199999999999997	0.017033333333333334	0.0205	0.01576666666666667	0.018500000000000003	0.029	0.015666666666666666	0.028300000000000002	0.02476666666666667	0.04153333333333333	0.03733333333333333	0.017433333333333332	0.0185	0.04066666666666666	0.013033333333333334	0.0166	0.018133333333333335	0.028733333333333333	0.03303333333333333	0.042966666666666674	0.0306	0.04226666666666667	0.019366666666666667	0.020233333333333336	0.014833333333333336	0.015233333333333333	0.019133333333333332	0.01643333333333333	0.056100000000000004	0.015833333333333335	0.0239	0.0237	0.031900000000000005
Flu MIC/2	0.018333333333333333	0.015433333333333332	0.015466666666666665	0.022133333333333335	0.017766666666666667	0.014199999999999999	0.024000000000000004	0.014133333333333331	0.0147	0.021099999999999997	0.016200000000000003	0.013900000000000001	0.018600000000000002	0.013933333333333334	0.021500000000000002	0.013366666666666666	0.014933333333333335	0.018933333333333333	0.017466666666666665	0.024333333333333335	0.013	0.017233333333333333	0.012166666666666666	0.017633333333333334	0.0122	0.014566666666666667	0.014333333333333332	0.0195	0.0152	0.0251	0.014466666666666668	0.020066666666666667	0.02666666666666667	0.016466666666666668	0.0183	0.017200000000000003	0.014299999999999998	0.016166666666666666	0.0273	0.016	0.025033333333333335	0.017499999999999998	0.027033333333333336	0.02513333333333333	0.011633333333333334	0.014033333333333333	0.019133333333333332	0.0165	0.0152	0.021566666666666665	0.020133333333333333	0.019433333333333334	0.0292	0.02716666666666667	0.027166666666666662	0.018866666666666667	0.0184	0.0176	0.012900000000000002	0.021099999999999997	0.019866666666666664	0.04636666666666667	0.0268	0.0239	0.023433333333333334	0.0206
Vor C0	0.011866666666666666	0.008499999999999999	0.008600000000000002	0.010833333333333334	0.006966666666666666	0.0113	0.050166666666666665	0.013633333333333332	0.008866666666666667	0.005	0.006033333333333332	0.007233333333333334	0.007766666666666667	0.007966666666666665	0.008033333333333332	0.010733333333333333	0.017866666666666666	0.014499999999999999	0.014566666666666667	0.008	0.010266666666666667	0.007200000000000001	0.007233333333333332	0.0088	0.010066666666666666	0.009533333333333333	0.0082	0.012366666666666666	0.011466666666666667	0.0088	0.008499999999999999	0.009300000000000001	0.012866666666666665	0.014366666666666666	0.008933333333333333	0.007166666666666666	0.007966666666666665	0.005233333333333333	0.016533333333333334	0.011066666666666667	0.0088	0.010766666666666667	0.012466666666666668	0.0085	0.013866666666666666	0.006433333333333333	0.010866666666666665	0.0061	0.006433333333333333	0.0062	0.011366666666666669	0.015	0.020900000000000002	0.013833333333333331	0.008866666666666667	0.0070999999999999995	0.012266666666666667	0.006033333333333334	0.005366666666666666	0.0065	0.007233333333333334	0.032733333333333337	0.012666666666666666	0.010666666666666666	0.009133333333333334	0.0123
Vor MIC	0.015033333333333334	0.016566666666666667	0.015066666666666667	0.021466666666666665	0.017433333333333332	0.0129	0.021166666666666667	0.014633333333333332	0.014900000000000002	0.022066666666666665	0.015	0.014100000000000001	0.012533333333333334	0.017766666666666667	0.014366666666666666	0.011633333333333334	0.019433333333333334	0.02036666666666667	0.023433333333333334	0.02413333333333333	0.015133333333333332	0.017066666666666664	0.0118	0.010766666666666667	0.018133333333333335	0.013966666666666667	0.016033333333333333	0.020566666666666667	0.011733333333333332	0.02223333333333333	0.020033333333333334	0.01753333333333333	0.0351	0.029566666666666668	0.019866666666666668	0.0189	0.025500000000000005	0.013233333333333333	0.028966666666666665	0.017733333333333334	0.0207	0.023066666666666666	0.021733333333333337	0.018666666666666665	0.022199999999999998	0.013466666666666667	0.026533333333333336	0.012400000000000001	0.017933333333333332	0.012533333333333334	0.021466666666666665	0.015033333333333334	0.03236666666666667	0.034333333333333334	0.0282	0.0177	0.021500000000000002	0.012166666666666666	0.012433333333333333	0.011833333333333335	0.0164	0.049666666666666665	0.021633333333333334	0.023366666666666664	0.019333333333333334	0.03863333333333333
Vor MIC/2	0.013133333333333335	0.014133333333333331	0.015433333333333335	0.020166666666666666	0.015599999999999998	0.0096	0.015799999999999998	0.0171	0.013733333333333334	0.01896666666666667	0.013433333333333334	0.02033333333333333	0.017933333333333332	0.018	0.015433333333333332	0.013533333333333333	0.021433333333333332	0.028033333333333337	0.0192	0.019233333333333335	0.0128	0.013633333333333332	0.014566666666666667	0.0159	0.019133333333333332	0.0233	0.020900000000000002	0.0191	0.012733333333333333	0.022099999999999998	0.013166666666666667	0.02103333333333333	0.03283333333333333	0.033466666666666665	0.019733333333333335	0.019266666666666668	0.0155	0.015633333333333332	0.02936666666666667	0.0159	0.023500000000000004	0.029933333333333336	0.02766666666666667	0.019266666666666668	0.0197	0.019100000000000002	0.021533333333333335	0.012066666666666665	0.014633333333333333	0.013233333333333333	0.022966666666666666	0.0177	0.0359	0.032633333333333334	0.029633333333333334	0.015933333333333334	0.022466666666666666	0.0155	0.012733333333333333	0.014966666666666665	0.013333333333333336	0.03963333333333333	0.015600000000000001	0.0268	0.019966666666666667	0.028233333333333333
11326083 C0	0.02943333333333334	0.015133333333333332	0.011866666666666666	0.014966666666666668	0.012266666666666667	0.010166666666666666	0.014133333333333331	0.0095	0.009933333333333334	0.008166666666666668	0.0146	0.029099999999999997	0.0168	0.009399999999999999	0.011033333333333334	0.009833333333333333	0.010733333333333336	0.0119	0.015600000000000001	0.010966666666666666	0.010299999999999998	0.0088	0.011533333333333333	0.013333333333333334	0.0087	0.0095	0.0117	0.0184	0.012633333333333335	0.018666666666666665	0.013266666666666668	0.017233333333333333	0.015666666666666666	0.013733333333333334	0.010866666666666669	0.016033333333333333	0.0126	0.010433333333333331	0.017266666666666666	0.01656666666666667	0.014866666666666667	0.0179	0.029733333333333334	0.018966666666666666	0.016466666666666668	0.011000000000000001	0.018166666666666668	0.014933333333333333	0.010766666666666667	0.011166666666666667	0.016166666666666666	0.015700000000000002	0.016066666666666667	0.021666666666666667	0.019633333333333332	0.0121	0.014033333333333333	0.017533333333333335	0.009	0.0129	0.009266666666666666	0.0395	0.019366666666666667	0.013466666666666667	0.012266666666666667	0.01656666666666667
11326083 MIC	0.028433333333333335	0.0267	0.020033333333333334	0.03216666666666667	0.03953333333333333	0.02313333333333333	0.04806666666666667	0.0234	0.022266666666666667	0.018000000000000002	0.15373333333333333	0.11516666666666668	0.018666666666666668	0.021500000000000002	0.017566666666666664	0.020733333333333336	0.022000000000000002	0.038566666666666666	0.0481	0.03366666666666667	0.021866666666666663	0.016533333333333334	0.02093333333333333	0.026499999999999996	0.0185	0.016699999999999996	0.026	0.06609999999999999	0.022133333333333335	0.036533333333333334	0.034833333333333334	0.03626666666666667	0.05280000000000001	0.0573	0.020233333333333336	0.024666666666666667	0.0202	0.021599999999999998	0.0595	0.046033333333333336	0.034999999999999996	0.050300000000000004	0.07316666666666666	0.04006666666666667	0.06263333333333333	0.03326666666666667	0.026366666666666667	0.018433333333333333	0.0181	0.027966666666666667	0.0462	0.039733333333333336	0.04936666666666667	0.07193333333333334	0.04093333333333333	0.025166666666666667	0.0443	0.028300000000000002	0.022099999999999998	0.031233333333333335	0.024366666666666665	0.05893333333333334	0.04683333333333334	0.04356666666666666	0.036699999999999997	0.068
11326083 MIC/2	0.0305	0.029266666666666663	0.0242	0.027133333333333332	0.033466666666666665	0.023566666666666666	0.06313333333333333	0.0348	0.02783333333333333	0.02836666666666667	0.15159999999999998	0.11493333333333333	0.0251	0.0267	0.029566666666666668	0.023966666666666667	0.0267	0.038799999999999994	0.0531	0.0434	0.03983333333333333	0.030133333333333335	0.03746666666666667	0.0638	0.026899999999999997	0.028399999999999998	0.025666666666666667	0.08289999999999999	0.0344	0.039299999999999995	0.03833333333333333	0.0368	0.05146666666666666	0.062233333333333335	0.0256	0.22253333333333336	0.1545	0.0236	0.06426666666666667	0.04763333333333333	0.038066666666666665	0.061	0.06683333333333334	0.048600000000000004	0.06026666666666667	0.03556666666666666	0.03200000000000001	0.05910000000000001	0.04146666666666667	0.03616666666666666	0.045466666666666676	0.03776666666666667	0.0451	0.0569	0.049833333333333334	0.0318	0.04926666666666666	0.0295	0.0425	0.03336666666666666	0.028333333333333332	0.04443333333333333	0.04406666666666667	0.0324	0.0295	0.06676666666666665
MP C0	0.007066666666666666	0.011466666666666667	0.010799999999999999	0.014866666666666667	0.012566666666666665	0.0111	0.014566666666666665	0.0092	0.009233333333333335	0.008833333333333334	0.0094	0.015600000000000001	0.007633333333333333	0.005666666666666667	0.009566666666666666	0.0067666666666666665	0.012533333333333334	0.007899999999999999	0.007866666666666666	0.013133333333333335	0.009633333333333334	0.008466666666666666	0.008499999999999999	0.009733333333333332	0.0075	0.008433333333333333	0.008366666666666666	0.0112	0.008966666666666666	0.014266666666666669	0.011399999999999999	0.012266666666666667	0.009233333333333333	0.006933333333333333	0.009800000000000001	0.024500000000000004	0.007200000000000001	0.011866666666666666	0.013866666666666666	0.011666666666666667	0.012466666666666668	0.008533333333333332	0.010733333333333333	0.014733333333333334	0.01	0.0104	0.009533333333333333	0.0069	0.006466666666666667	0.010533333333333334	0.007833333333333333	0.013699999999999999	0.016733333333333333	0.01796666666666667	0.014499999999999999	0.010266666666666665	0.010633333333333333	0.008166666666666668	0.008866666666666667	0.008333333333333333	0.010533333333333334	0.04836666666666667	0.027200000000000002	0.014433333333333333	0.010733333333333333	0.0124
