drug	Gcv2	His7	Trp3	Aro2	Lys1	Hom2	Aro3	Car1	Sam4	Sui2	Gcv3	Rnr4	Pdc1	Pyc2	Tps3	Tsl1	Pgm2	Ald4	Hxk1	Pda1	Idp1	Tal1	Hxt3	Pgk1	Pmi40	Hog1	Cwp1	Mdh2	Erg3	Erg10	Lsc1	Pdr5	Dur1	Uga1	Gpd2	Gpd1	Ahp1	Grx1	Uth1	Yhb1	Tsa1	Sod1	Trx2	Ssa2	Ssa1	Ssa4	Ypk1	Sti1	Bat2	Tdh1	Hsp12	Hsp104	Hsp78	Nth1	Sse1	Hsc82	Tps1	Nsr1	Hsp42	Aha1	Hsp26	Ydj1	Pre4	Htb2	Bmh1	BY4741
Flu MIC	0.22253110166666668	0.12232763166666667	0.25055842	-0.06183031	-0.25144622166666664	-0.008945006666666672	0.059737868	0.20659678266666667	-0.19335408666666665	0.03165496633333333	0.266001118	0.08338890433333333	0.14749780466666665	0.10062208083333334	0.35235013666666665	0.34081984	0.16169153666666666	0.09428659286666667	-0.08764343333333335	0.19352298566666667	0.058123370333333334	0.1844212633333333	0.6390152766666667	0.30488337666666665	0.3120650866666666	0.09235411666666667	-0.13360633333333333	0.05224938666666667	1.0537688633333333	0.6016408333333333	0.053101829999999996	1.2081074333333335	0.35895689999999997	0.45839762199999995	-0.06948719530000001	0.9044748266666667	0.11571002666666669	-0.19020908	0.056842929666666674	0.7807697133333334	0.21395784233333334	0.14115919	0.26207316666666663	0.2466228066666667	0.23882971333333333	0.04342505	0.5401988433333333	-0.032271926	0.0872940233333333	0.6133720866666666	0.06161938366666667	0.6315768233333333	0.23031875533333332	0.38088692999999996	-0.16557665233333332	0.18009165333333335	0.7222517566666667	-0.5422789166666666	0.39410996333333337	0.10052133666666667	-0.07426931799999999	0.18872545633333335	0.07004647600000001	0.02360926666666666	0.33218707666666664	-0.03920301966666667
Flu MIC/2	0.32368948000000003	0.19601686333333332	0.22897215533333334	0.15628732866666667	-0.00654824499999999	0.25033634666666665	0.19082240166666664	0.201231122	0.026883386666666665	0.07295110333333334	0.28254003	0.005940398833333335	0.08387388	0.16566788	0.21650969333333334	0.15748369233333334	0.10428546500000001	0.18379942333333332	0.029884806666666652	0.09517017666666666	0.10690061366666666	0.09421585333333332	0.7351097766666667	0.12745906666666668	0.14911251	0.07699388333333333	-0.12603556999999999	0.17525099666666666	1.2475388833333334	0.44968099000000006	0.12292194333333333	0.7966432	0.21958298333333337	0.25244980466666667	0.023072895666666666	0.4311479866666667	-0.09974109033333334	-0.04324222833333333	0.03932112333333334	0.7873715666666667	0.10565630999999999	0.08222912666666667	-0.08223119333333333	0.056124294666666664	0.07175735	0.13231285	0.29958307333333334	-0.019750054999999992	0.07551654699999999	0.19093888366666667	0.21165649876666667	0.23526126	0.18285713499999998	0.24343942333333332	0.026853732333333335	0.05635568733333333	0.3816767566666666	-0.178261172	0.10374008586666666	0.06920929933333334	0.05052294866666667	0.14808608	0.08410062233333333	0.016708154666666666	0.13343237133333333	-0.004701199999999998
Vor MIC	0.33637806	0.14927884700000002	0.43181051000000004	0.09895563333333335	-0.15336890833333333	-0.13357635566666667	0.2877494133333333	0.29759939333333335	-0.3046649166666666	0.4107429333333334	0.5690224	0.25380291866666665	0.17405727000000001	-0.003815519999999998	0.57661524	0.91111642	0.6250904166666668	0.31585410333333336	0.06439616666666668	0.5260518333333333	0.153490058	0.28078843000000003	0.7200156866666667	0.49344513333333334	0.3240500533333333	0.29437990999999997	-0.40154593666666666	0.015118988000000005	1.3523880333333331	0.7398722166666666	0.5301905666666666	2.0307661333333336	0.5320454233333334	0.8858788833333332	0.006987376433333331	1.1573439333333333	0.27389232333333335	0.25831186	0.32604076866666665	0.8141724333333333	0.26969814000000003	0.12024132333333333	-0.38444328999999994	0.24095901	0.5207334666666666	0.36480981333333334	0.9283031533333334	0.15254014866666665	0.26929943533333334	1.0815837766666665	0.6664267533333333	1.03589428	0.5595885766666666	0.8752496766666665	0.08085737666666667	0.21345258	1.388003433333333	-0.7117230033333333	1.0176812866666667	0.2355010266666667	0.17635556666666666	-0.015026210500000003	0.14833771466666668	0.02515091233333333	0.6488451033333333	0.46611957266666665
Vor MIC/2	0.32612326333333336	0.14167393333333334	0.35405637000000006	0.06702689270000001	-0.07778008466666667	-0.08224310033333333	0.11961472533333334	0.2506354786666667	-0.30180598666666664	0.16645397099999998	0.45616177666666663	0.24627220200000002	0.15283871866666668	-0.018141100333333337	0.43744182666666664	0.5902190866666667	0.43244159666666665	0.2864077033333333	0.08318197333333333	0.35491016999999997	0.10545324	0.2045416923333333	0.80180488	0.31317179	0.25452439	0.21451428000000003	-0.20257790333333334	-0.012677458266666665	1.4154747666666667	0.6669683066666666	0.2905953266666667	1.7177309133333332	0.42270074666666674	0.6041117133333334	-0.02750314	0.9268055766666666	0.07969054999999999	0.12707200666666665	0.14094147999999998	0.85952478	0.22268342866666666	0.12685294666666666	-0.30269344666666664	0.14098955999999999	0.3702597966666667	0.21584468333333331	0.6579540066666666	0.11152033346666666	0.21430013666666667	0.5943468366666667	0.55964874	0.7564293599999999	0.39854269333333336	0.5442728633333334	-0.04829267	0.15022085	0.9168586766666668	-0.5696511266666667	0.6264127766666667	0.17229578666666667	0.10180349499999998	-0.007407637466666668	0.11964708800000001	0.03812311400000001	0.47156423333333325	0.10273730799999999
SDS MIC	0.1418275066666667	-0.21962021	-0.13592486633333334	-0.35044113000000005	-0.1664812033333333	-0.44230478999999995	-0.24151403333333335	-0.33046367666666665	-0.17780149	-0.18458137666666666	0.21384300616666665	-0.029682026333333333	-0.05979796766666667	-0.19661302666666666	-0.065724204	0.180622782	-0.09677694333333335	-0.29000726000000004	-0.1567127276666667	-0.34893898666666673	-0.35578276666666664	-0.16067461000000002	-0.2694760533333333	0.020804672433333334	-0.3794657766666667	-0.24364536	0.18203527533333333	-0.7234352466666666	-0.5278117133333333	-0.25116865666666666	-0.2617101433333333	0.07039149666666666	-0.28221115333333335	-0.03873212733333333	-0.40680424333333337	0.5174124466666666	-0.05049046033333334	-0.115088025	-0.168154299	-0.6010979266666667	-0.11421405666666666	0.016713218666666668	0.14326695733333333	0.045438185666666665	0.06382498333333332	-0.07323216333333334	-0.20959966666666666	-0.23055694333333332	0.16482671466666665	0.48661842666666666	-0.23804297833333332	0.19147334333333332	-0.06048435533333333	0.04161528383333333	0.014276583266666665	0.035795817533333336	0.2844023	-0.5646600366666666	0.08845861	-0.2541121925	-0.20701720066666665	-0.07591209950000001	-0.10323141000000001	-0.034970988333333335	-0.019706359833333336	-0.14228242066666666
SDS MIC/2	-0.073744027	-0.18576585999999998	-0.11048123466666666	-0.2658354533333333	-0.11442879133333334	-0.27319356333333333	-0.032367074333333336	-0.4121155066666667	-0.16061511333333334	-0.15001709666666665	0.054438101999999995	-0.009709506	-0.07925581833333332	-0.15381571186666668	-0.10750970933333333	0.05103617999999999	-0.02345232533333333	-0.21598146333333332	-0.07100888233333334	-0.2553263433333333	-0.3201524	-0.19674930000000002	-0.20003219333333333	0.0383953805	-0.22307149	-0.28979629	0.09983472033333333	-0.4483994433333333	-0.3934937233333333	-0.14391125000000002	-0.045321361000000004	0.03775103666666666	-0.05088762646666667	0.025965083333333343	-0.16875492466666667	0.42237121333333333	-0.24995619666666666	-0.087666882	-0.06938241366666666	-0.47292741666666666	-0.14413125333333332	-0.043532019	-0.5087743933333333	-0.025707117666666668	-0.07539835533333333	0.08026790766666668	-0.08281315166666665	-0.26681296	0.100967807	0.64751104	-0.12004572233333333	0.10430216666666668	-0.011914240000000001	0.05750288666666666	0.055065985333333324	-0.030860783000000003	0.11293982636666665	-0.30335381666666666	0.038363942000000005	-0.17676896333333333	-0.09217187	-0.09723956600000001	-0.07772412566666666	-0.022400995466666667	-0.024524239000000003	-0.06656508433333334
11326083 MIC	0.14643243666666664	-0.16420761333333334	0.19853716466666663	-0.107978982	-1.4621316333333334	-0.5427104066666667	-0.15639824066666666	-0.030282338666666648	-0.32918945000000005	0.14513913999999997	0.16434540666666667	-0.17540571333333335	0.07227834133333333	-0.30184558	0.38347541999999996	1.6251803333333334	1.5642356	0.60367362	1.6300049	0.8429046866666666	0.41156266333333336	0.4491449533333333	-1.0142586583333333	0.19482733500000002	0.10007684796666667	0.1034602457	-0.8294205333333333	-0.7250371000000001	0.7275750799999999	-0.21111941933333334	0.4951670066666667	-0.9251522933333334	-0.19567975	0.8031970666666667	-0.30829968333333335	0.7592193433333333	1.2096353666666666	0.33910254	0.01730107333333333	0.32384815000000006	0.24724314000000003	1.6153212000000001	2.5175968666666666	-0.48586492666666664	1.2115246466666667	2.272669366666667	0.07395469666666665	-0.07993443533333333	0.27468397166666664	1.6466162333333336	2.8231418	1.5694355333333332	1.5671838999999999	0.6642947966666667	-0.9634417666666666	-0.2980874866666667	1.5886806666666666	-1.4483303666666665	1.0062948	0.3005888433333333	0.8967848866666666	-0.017796384223333333	0.21867265999999996	-0.34538515	0.2920925346666667	0.24689406666666666
11326083 MIC/2	0.2737764166666667	-0.18507747166666666	0.060327106666666665	-0.0037204443333333317	-1.4054685333333332	-0.5009119399999999	-0.0669577971684	-0.25491085646666667	-0.48874157333333335	0.23976266999999998	0.36481108200000006	-0.4328340533333333	0.03216630893333334	-0.302404953	0.3113032	1.5216839333333336	1.4730435	0.6178836799999999	1.7112701666666668	0.8659868333333334	0.38804678666666664	0.2930788916666666	-1.2942260466666669	0.17434033533333335	0.17942415600000003	0.10209804433333332	-0.5722502	-0.6181459666666667	0.042091816666666615	-0.22758906	0.6622311966666666	-1.1553552433333334	-0.12755789833333334	0.8583171333333334	-0.47785441333333334	0.5510528466666667	1.1582668833333332	0.31030559999999996	0.12196874333333334	-0.16983662533333335	0.14914786333333332	1.5461665	2.2347214999999996	-0.5778011066666667	1.3213735333333332	2.6343152333333335	-0.08482454499999999	0.05546427266666667	-0.007206056666666664	1.5533799666666666	2.925401733333333	1.2189735833333335	1.386315	0.5602209333333333	-0.93172621	-0.3679676016666667	1.4503621333333332	-1.5218534333333331	1.2295618666666666	0.2901034866666667	0.65858969	-0.04612077166666667	0.08255496666666667	-0.3953785966666667	0.25491728333333336	0.21850464056666666
MP MIC	0.3348833	-0.28548011333333334	0.25169359666666663	-0.06914465333333332	-0.8827731333333334	-0.42405	0.15712244446666668	-0.36219147	-0.8512143999999999	0.15190808333333333	0.6001075	0.6128195733333334	-0.005930723333333332	-0.225768215	0.61648922	2.0682372333333334	2.2429859000000003	1.2903274	2.3307182999999996	1.0191087666666665	0.5895106866666667	0.3530001923333333	-0.9514737466666666	0.43108516666666663	-0.23963017666666667	0.13479684	-0.71114197	-0.37321329666666664	0.43788886	0.10224707333333334	0.96496979	-0.7012533746666666	0.26712089333333333	1.5963247333333335	-0.04113632233333334	0.9626009166666666	1.0515391	0.4026134333333333	-0.01785857966666667	2.047821566666667	0.40358435666666664	2.2038513	2.3866441999999997	-0.44667350333333333	1.3985016000000001	2.6952042333333335	0.103964019	0.15868722233333332	0.4789470333333334	2.8486312	4.521176966666666	2.035316266666667	1.8295747666666669	1.0141801	-0.79872609	-0.2241944553333333	1.8618931999999997	-1.6449698333333334	1.5933509666666668	0.8282532866666666	2.4858480000000003	-0.0020260168066666647	0.26245717333333335	-0.72436392	0.5009724266666667	0.17805567
MP MIC/2	0.3835577766666667	-0.13060104033333333	0.3218065433333333	-0.1472867383333333	-0.84075839	-0.270962978	0.2048202166666667	-0.38151243000000007	-0.8493062033333333	0.22315704166666664	0.5610627	0.30845652333333334	0.09530706033333335	-0.22849304133333334	0.6305111266666666	1.9847933333333332	2.1192580333333333	1.3977559333333334	2.3480443	1.10036359	0.6545496599999999	0.33710475333333334	-0.8285477266666668	0.41509204	0.03443290433333333	0.24146495166666668	-0.6305536166666666	-0.23387275333333335	0.49373247233333334	0.3312212233333333	1.0311937	-0.8181230953333333	0.40348729999999994	1.3482432	-0.11027920666666668	0.9318733666666666	1.0050715833333335	0.47500544000000006	0.33423953	2.12879832	0.4690455033333334	2.1479223	2.388382366666667	-0.24696299666666666	1.5131933533333335	2.7704111	0.13544617366666667	0.3405311933333333	0.3067192533333334	2.7371874	4.3619585333333335	2.0061759666666665	1.8624997333333333	0.9707897333333332	-0.7237106	-0.07933644999999999	1.6836347	-1.4341631333333336	1.5973153333333334	0.9418065333333333	2.5523599	0.13845562766666666	0.35415702666666665	-0.5918258533333333	0.5437063966666666	0.19976545666666667
