drug	Gcv2	His7	Trp3	Aro2	Lys1	Hom2	Aro3	Car1	Sam4	Sui2	Gcv3	Rnr4	Pdc1	Pyc2	Tps3	Tsl1	Pgm2	Ald4	Hxk1	Pda1	Idp1	Tal1	Hxt3	Pgk1	Pmi40	Hog1	Cwp1	Mdh2	Erg3	Erg10	Lsc1	Pdr5	Dur1	Uga1	Gpd2	Gpd1	Ahp1	Grx1	Uth1	Yhb1	Tsa1	Sod1	Trx2	Ssa2	Ssa1	Ssa4	Ypk1	Sti1	Bat2	Tdh1	Hsp12	Hsp104	Hsp78	Nth1	Sse1	Hsc82	Tps1	Nsr1	Hsp42	Aha1	Hsp26	Ydj1	Pre4	Htb2	Bmh1	BY4741
Mycosidine 2h MIC/2	-0.23409924	-0.37159106	-0.27957255	-0.7608761	-0.4657376	-0.5600385	-0.31348944	-0.87942356	-0.5921192	-0.6102960705757141	-0.4602441	-0.58118576	0.2359254	-0.10044273	-0.16175033	-0.3206387	-0.20180945	-0.540504	-0.0032745653	-0.62869006	-0.3612489	-0.27202016	-0.36580557	-0.0069642793	-0.34751004	-0.29909596	-0.76357317	-1.0315222	-1.0093998	-0.6505943	-0.65845376	0.527765	-0.19066422	-0.5281049	-0.7013447	-0.0058077476	0.1729675	-0.4673108	-0.4784984	-0.20290382	0.009283786	-0.26836732	-0.10366621	0.21293804	-0.94852036	0.38095075	-0.23837522	-0.45521346	-0.36233038	-0.030091127	0.06133114	-0.47223344	-0.78083724	0.1198997	-0.6433803	-0.12574767	0.14878595	-1.9997956	-0.55419487	-0.07934812	-0.44697276	-0.6074837	-0.049717147	-0.554607	-0.3218566	-0.5827626
Mycosidine 2h MIC	-0.3828526	-0.42257452	-0.44907805	-0.7979783	-0.5947314	-0.76554227	-0.37143588	-1.1775776	-0.6678837	-0.5029301643371582	-0.5511959	-0.6801424	0.035054795	-0.1326664	-0.20206049	-0.322759	-0.25593445	-0.546633	-0.051162444	-0.6859829	-0.44606468	-0.44786015	-0.7918804	-0.18895718	-0.34241584	-0.19698359	-0.800681	-1.11001	-1.1594167	-0.8267341	-0.71986234	-0.054419264	-0.21613729	-0.58006	-0.79456484	-0.15756439	-0.18948025	-0.35981873	-0.22600445	-0.35385224	-0.15371624	-0.6042916	-1.8033453	0.090608515	-0.9667513	0.36030754	-0.24365471	-0.5289717	-0.4698341	-0.16862848	-0.16692075	-0.6355285	-0.75418097	0.05994859	-0.64530104	-0.2653404	0.096952364	-2.0965214	-0.55744636	-0.17966811	-0.35834026	-0.7487073	-0.17206734	-0.6725976	-0.3990718	-0.49008054
Mycosidine 3h MIC/2	-0.11017644	-0.19251055	-0.12775348	-0.083994105	0.011131859	-0.011806547	0.06790681	-0.028323844	-0.25944883	-inf	-0.08465452	-0.121670164	0.13519949	0.06686801	0.0011365295	-0.06719593	-0.077552155	-0.12874277	0.01584718	-0.3940109	-0.22562362	0.020135414	0.60969526	0.16943634	0.06938797	0.16288285	-0.17449924	-0.30297646	-0.92439437	-0.14193133	0.2561341	1.371039	0.025927955	-0.0016047163	-0.4099464	0.10768242	0.53959703	-0.14588171	-0.2107187	0.19245778	0.66939515	0.34514466	0.44701207	0.07554982	-0.22939669	0.20817854	-0.17416699	-0.06485815	0.06244756	0.09478034	0.6028273	-0.057511445	0.11089123	0.25755703	-0.055642348	0.039991323	0.19288199	-1.6677756	0.04123987	0.36112615	-0.16994569	-0.21676622	0.19322665	-0.3554841	0.13726307	-0.06416799
Mycosidine 3h MIC	-0.27632302	-0.28511956	-0.27826005	-0.26203775	-0.23559335	-0.43434227	-0.025382092	-0.33265367	-0.343179	-0.2122407863198949	-0.09581257	-0.17733727	0.0035479355	-0.13888735	-0.14526142	-0.1202185	-0.15577514	-0.38331017	-0.09358287	-0.6132147	-0.3235158	-0.18681516	-0.10047435	-0.057466883	-0.022314887	0.008792594	-0.41993517	-0.5052649	-1.1463542	-0.39523664	-0.25357342	0.47844043	-0.034756828	-0.32881206	-0.53979576	0.04493502	0.20804544	-0.19124003	-0.21526952	-0.0017037198	0.5043688	0.15638603	0.18822254	-0.0064870436	-0.41461208	0.11693198	-0.24649799	-0.29814807	-0.104250655	-0.052155755	0.28730768	-0.18411992	-0.014849209	0.16450019	-0.32524997	-0.1433338	0.049308654	-1.9322124	-0.078059934	0.21974888	-0.16342421	-0.5294723	-0.016639633	-0.50133336	-0.09410706	-0.27873054
Mycosidine 4h MIC/2	0.19951554	-0.34629354	-0.15940271	-0.9199343	-0.51199526	-0.34672117	0.04493819	-0.753831	-0.8328995	-0.2273350656032562	0.15298663	-0.9594762	-0.83714986	-0.4515728	0.0983555	0.9357282	0.9266446	-0.15978134	1.1244036	-0.037619535	-0.07776423	-0.3224154	-0.4472092	-0.14101706	-0.6825149	-0.48436007	-0.36930272	-0.65176773	-1.6584427	-0.764593	-0.14537859	0.70769954	-0.14380085	0.84010357	-0.4828296	0.6646845	-0.7604494	-0.31622556	-0.49266228	-1.144223	-0.5725783	-0.26432872	-2.5934067	-0.84843045	0.39319417	1.2700859	-0.20916711	-0.64853203	0.29758632	1.4003854	2.0258777	0.5252707	0.09050692	0.49899647	-0.3087026	-1.0352159	1.0053772	-1.7094322	0.65076	-0.4504414	0.33312342	-1.091974	-0.13956656	-0.84928226	0.071941674	-0.31937286
Mycosidine 4h MIC	0.3041903	-0.74666667	-0.47433034	-1.2703941	-1.4539878	-1.3916141	-0.3907014	-1.8960762	-1.3810835	-0.1231920346617698	0.22499335	-1.2915747	-1.3238121	-0.72470725	-0.029365348	0.82564557	0.93454194	-0.19502266	1.1145092	-0.39804065	-0.29070252	-0.6689579	-1.688969	-0.646765	-0.6605948	-0.65483856	-0.6199249	-1.22751	-1.8634455	-1.396995	-0.3568089	-0.24830016	-0.11185989	0.6723718	-0.9194897	0.41032362	-1.6425134	-0.40124336	-0.37908274	-1.6041411	-1.0098352	-0.6177388	-2.681249	-1.1192596	-0.20731434	1.2408683	-0.31506288	-0.93782634	-0.29237777	1.2299827	1.7496352	0.24198605	-0.008462411	0.42988187	-1.0799266	-1.327464	0.9898829	-2.5989254	0.3254106	-0.6397612	0.43549326	-1.3231202	-0.39012027	-1.039711	-0.1768986	-0.41849816
Mycosidine 6h MIC/2	0.1378059	0.18641987	0.7757156	0.016401272	0.44545087	0.48180288	0.8776322	0.34322056	-0.084696464	0.6724283695220947	1.3927038	0.11169494	-1.4215794	0.03799646	0.69370943	2.3855212	2.629795	1.000268	2.765069	0.9726663	0.85220575	0.51452756	1.2692388	0.6573001	-0.071165495	-0.00080191996	-0.044810217	0.5193076	-0.43046826	0.015444148	0.85433596	1.8715706	0.6339627	1.8121374	0.5606561	1.0267633	0.49002945	0.3359585	0.2625792	-0.99592257	0.32258272	0.47795004	-2.2911339	-0.53807384	1.3127002	2.0785742	0.3375272	-0.022308338	0.295701	2.693558	3.93721	1.4761951	0.885407	0.87404716	0.5594764	-0.43679604	1.4971489	-0.16492368	1.411747	-0.065586716	2.202384	-0.73739254	0.45620888	0.056828033	0.75076383	0.5066049
Mycosidine 6h MIC	0.26626027	-0.26236883	0.34822798	-0.52483845	-0.362125	-0.5872278	0.70360297	-1.1630795	-0.7312387	0.5837889909744263	1.798392	-0.39880764	-0.99178255	-0.064968616	0.519149	2.356687	2.829465	1.3772818	3.2922523	0.81274617	0.68036276	0.2697498	-0.2726889	0.10880853	-0.25892398	-0.15850869	-0.43479574	0.09906588	-1.4133375	-0.7176789	0.8869877	0.661267	0.3257707	2.1565309	-0.020390159	0.99467987	-0.7072554	0.15571676	0.38629538	-1.206225	-0.1301493	0.093461245	-2.216904	-0.8070428	1.0095541	2.5459285	0.2984862	-0.28275242	-0.1269488	2.6019373	3.770122	1.2835997	1.2776312	1.3878559	-0.005409956	-0.83956337	1.6966518	-1.4145292	1.3507625	0.2834243	2.349162	0.13172966	0.22894123	-0.66946244	0.69402975	0.68723524
Mycosidine 7h MIC/2	0.15157543	-0.018118158	0.35251185	0.11685205	0.26632488	0.31990966	0.6737537	0.1555247	-0.2605664	0.0621884688735008	1.0791782	-0.0043281517	-0.32315525	0.055896703	0.3258094	1.4371893	1.4187207	0.68384767	1.476016	0.51851404	0.43168378	0.40474972	0.6721248	0.5166308	-0.052161284	0.08173389	0.3129735	-0.32257906	-1.0686351	-0.28841537	0.22591685	1.4462272	0.12903692	1.1769594	0.029948374	0.9132829	0.5342587	-0.0825599	-0.042727526	-0.87326103	0.119924545	0.40729836	-1.9402105	-1.0181222	0.68956757	1.153972	0.17111662	-0.36592668	0.45789146	1.4386276	2.9622386	1.0714326	0.63065153	0.6208883	0.18050334	-0.6729899	1.3031383	-0.61041343	1.2167956	0.08018694	0.85931295	-0.26261896	0.3173523	-0.014426161	0.44308063	0.06591553
Mycosidine 7h MIC	0.31520292	-0.43909895	-0.014027984	-0.4077663	-0.6330919	-0.6932703	0.39646524	-0.76961666	-0.7228071	0.1412193775177002	1.4673816	-0.43818173	-1.7363268	-0.4232766	0.1810001	1.4985427	1.7197509	0.86902434	1.9475492	0.454409	0.2776837	-0.016213626	-0.7694324	0.042688876	-0.32929394	-0.2795408	0.020030258	-0.47260913	-1.8324124	-0.90282255	0.28267998	0.31164286	-0.03465456	1.5366395	-0.50431204	0.9348098	0.065922104	3.34999	0.1290841	-1.307377	-0.23395006	0.24819267	-2.7457528	-1.0571942	0.8048098	1.5244123	0.02994113	-0.4766041	0.12249453	1.8716843	3.0310583	1.3658172	0.99409866	0.7667242	-0.26405886	-0.87963444	1.6805855	-2.0057402	1.364785	-0.30966595	1.3820176	-0.78529686	0.1806953	-0.4245284	0.5277964	-0.16944447
Tunicamycin 3h MIC/2	-0.66000676	-0.14729	0.021519355	0.23103656	0.43964955	0.3841947	0.09324685	1.3335751	0.20818806	-0.4354725182056427	-0.6818746	-0.018632969	0.8470999	0.24180499	0.0043693036	-0.36623803	-0.60536516	0.031165412	-0.4172263	0.0870701	-0.13514689	0.5506277	0.835534	0.5552483	1.0619984	0.5125903	0.20045549	0.41514614	0.36950216	0.87228525	0.12782292	1.0583315	0.03779962	-0.77173	0.04420999	0.7822851	0.82538	0.039449733	-0.14905597	0.058077794	1.4108323	-0.1825627	-2.6366422	0.45256916	-0.33395743	-0.39200073	0.38591453	0.28073284	-0.084647045	-0.52334267	0.498429	0.013959665	0.04130405	0.53232014	-0.12809627	0.54623485	0.08420696	-0.67216057	0.19963221	0.57214	-0.23418562	0.56925845	0.30444142	-0.5050502	0.45468837	0.01486756
Tunicamycin 3h MIC	-0.7200401	-0.081017055	0.22050881	0.40222192	0.5234908	0.46735853	0.24970591	1.638775	0.20678425	-0.384442538022995	-0.77825475	0.19258931	1.2205231	0.2319997	0.26930264	-0.081232555	-0.5352554	0.10985297	-0.48560172	0.39450312	0.025321407	0.8602924	0.91677815	0.7679894	1.4730201	0.71233344	0.22615726	0.39021173	0.4895126	1.0956373	0.38163722	1.3435196	0.23612852	-0.46197036	0.22328174	1.1522254	1.153574	0.12654	-0.15111989	-0.034100983	1.8602667	-0.17033601	-3.2188108	0.64381194	-0.23563719	-0.25592992	0.65033346	0.53804433	-0.13657443	-0.5428556	1.1355462	0.32476714	0.37187594	0.86573553	-0.15992823	0.7295524	0.32928243	-0.9211902	0.6197009	0.935851	-0.06002755	0.88588446	0.5530181	-0.50281584	0.69421035	0.08881249
