drug	Gcv2	His7	Trp3	Aro2	Lys1	Hom2	Aro3	Car1	Sam4	Sui2	Gcv3	Rnr4	Pdc1	Pyc2	Tps3	Tsl1	Pgm2	Ald4	Hxk1	Pda1	Idp1	Tal1	Hxt3	Pgk1	Pmi40	Hog1	Cwp1	Mdh2	Erg3	Erg10	Lsc1	Pdr5	Dur1	Uga1	Gpd2	Gpd1	Ahp1	Grx1	Uth1	Yhb1	Tsa1	Sod1	Trx2	Ssa2	Ssa1	Ssa4	Ypk1	Sti1	Bat2	Tdh1	Hsp12	Hsp104	Hsp78	Nth1	Sse1	Hsc82	Tps1	Nsr1	Hsp42	Aha1	Hsp26	Ydj1	Pre4	Htb2	Bmh1	BY4741
Mycosidine 2h C0	0.0336	0.0433	0.0675	0.062	0.0469	0.033	0.0547	0.0466	0.0367	0.0412	0.0356	0.074	0.1266	0.1429	0.1557450628366248	0.13662604233483	0.4331370899915895	0.074461662306299	0.1016415561052394	0.0804	0.0566	0.051429706115965	0.0897670169026953	0.0676810073452256	0.0989	0.0342	0.1629893238434163	0.3157894736842105	0.0480688497061293	0.2178533475026567	0.2702702702702703	0.2410714285714285	0.1046292811441475	0.0521290322580645	0.0207542051003798	0.0633088492479888	0.0482816429170159	0.1178	0.0243464889800102	0.1112469437652811	0.6212254470829669	0.1221210498125334	0.2889182058047493	0.2633473305338932	0.1394230769230769	0.1060044477390659	0.0703285420944558	0.2074609821088694	0.1295469049138481	0.0489	0.0233064412856959	0.0610275333522566	0.2568807339449541	0.2353741496598639	0.1593462717058222	0.0951792336217552	0.0751005811354492	0.0834597875569044	0.2791327913279133	0.0537	0.0199	0.0331	0.0173	0.0212	0.0937829293993677	0.1174968071519795
Mycosidine 2h MIC/2	0.0332	0.0173	0.0381	0.0196	0.0219	0.0158	0.1687	0.0226	0.0165	0.0422	0.0249	0.0539	0.018	0.0247	0.0199	0.0193	0.0359	0.0153	0.0149	0.0185	0.0137	0.0088	0.0102	0.0304	0.0149	0.016	0.0184	0.0225	0.0148	0.0264	0.0222	0.0276	0.0161	0.0172	0.0137	0.0086	0.0209	0.0194	0.0262	0.0127	0.0143	0.017	0.0204	0.0187	0.0162	0.018	0.0179	0.0097	0.0196	0.0094	0.0136	0.0203	0.0197	0.0185	0.0153	0.0143	0.0143	0.0175	0.135548172757475	0.0087	0.0121	0.0194	0.0204	0.017	0.0163	0.0186
Mycosidine 2h MIC	0.0461	0.0345	0.0319	0.0313	0.0267	0.0167	0.27	0.0247	0.0301	0.0476	0.2099	0.2242	0.0348	0.0281	0.0218	0.0265	0.0531	0.0205	0.0165	0.019	0.0131	0.0169	0.0218	0.0523	0.0486	0.025	0.0599	0.0258	0.0449	0.0281	0.0162	0.0439	0.0138	0.0176	0.0506	0.0226	0.0417	0.0373	0.0401	0.0231	0.0271	0.0152	0.0295	0.0323	0.0298	0.025	0.026	0.0149	0.03	0.0184	0.0171	0.0222	0.0267	0.0181	0.0218	0.0146	0.0175	0.0222	0.0713	0.0226	0.0145	0.0304	0.0206	0.0248	0.0153	0.0156
Mycosidine 3h C0	0.0336	0.0433	0.0675	0.062	0.0469	0.033	0.0547	0.0466	0.0367	0.0412	0.0356	0.074	0.1266	0.1429	0.1557450628366248	0.13662604233483	0.4331370899915895	0.074461662306299	0.1016415561052394	0.0804	0.0566	0.051429706115965	0.0897670169026953	0.0676810073452256	0.0989	0.0342	0.1629893238434163	0.3157894736842105	0.0480688497061293	0.2178533475026567	0.2702702702702703	0.2410714285714285	0.1046292811441475	0.0521290322580645	0.0207542051003798	0.0633088492479888	0.0482816429170159	0.1178	0.0243464889800102	0.1112469437652811	0.6212254470829669	0.1221210498125334	0.2889182058047493	0.2633473305338932	0.1394230769230769	0.1060044477390659	0.0703285420944558	0.2074609821088694	0.1295469049138481	0.0489	0.0233064412856959	0.0610275333522566	0.2568807339449541	0.2353741496598639	0.1593462717058222	0.0951792336217552	0.0751005811354492	0.0834597875569044	0.2791327913279133	0.0537	0.0199	0.0331	0.0173	0.0212	0.0937829293993677	0.1174968071519795
Mycosidine 3h MIC/2	0.054840724547158	0.0571	0.0606	0.0633	0.0513	0.0322	0.0939	0.0751	0.058		0.0644357422570309	0.1361071932299012	0.0367011179076144	0.0897501274859765	0.2177121771217712	0.0363230842759279	0.0958634274458306	0.0351955307262569	0.1212121212121212	0.1906653426017875	0.0660869565217391	0.1284599006387508	0.092464170134073	0.0205	0.0556923076923076	0.0334423845874227	0.1326860841423948	0.2873900293255132	0.053417308140891	0.1230183893468611	0.1011904761904761	0.0940514469453376	0.0401847575057736	0.0508816120906801	0.0360486891385767	0.0520231213872832	0.0659511857365414	0.054	0.0298935298935298	0.0492277992277992	0.3035019455252918	0.3985148514851485	0.3557168784029038	0.103542234332425	0.0388305162174508	0.0279317697228144	0.0329178028827425	0.1307471264367816	0.0976353928299008	0.0702	0.0151	0.0219	0.1223438506117192	0.1502262443438914	0.0563079116179615	0.04524089306698	0.0181562460043472	0.0229706877113866	0.1306901615271659	0.0834	0.0232	0.0233	0.02	0.0208	0.0187	0.0339
Mycosidine 3h MIC	0.0761	0.0705	0.053	0.06	0.0642	0.0289	0.0744	0.0652	0.0871	0.0681	0.0695	0.1336	0.0289	0.0438	0.0304	0.0468	0.0281	0.0361	0.0373	0.0273	0.0338983050847457	0.0282	0.052050643869711	0.0415111940298507	0.0766	0.0332	0.0209	0.0861306271142336	0.0445382090951711	0.0667757774140752	0.0283183905532473	0.0363280400261039	0.0492785793562708	0.0590149707094814	0.0285281494572077	0.0337823391062647	0.0655	0.0945	0.0273	0.0367	0.0309032167439247	0.1361031518624642	0.1575729068673565	0.0631031922791388	0.0410609037328094	0.0162	0.0184	0.0890269151138716	0.066546762589928	0.1717631750162654	0.0529549444119368	0.0236	0.035063752276867	0.1180124223602484	0.0205872426594667	0.0238	0.0151	0.0141524605982631	0.1175361407919547	0.1542	0.063	0.2475589604927144	0.0687471732247851	0.0394	0.0197	0.045369064409967
Mycosidine 4h C0	0.0882	0.0396	0.0507	0.0326	0.0304	0.0438	0.0784	0.0441	0.04	0.051	0.0555	0.0851	0.0202	0.0363	0.0663	0.0424	0.0282	0.0438	0.0162	0.0456	0.0357	0.058	0.0606	0.0429	0.0244	0.0224	0.0848	0.0321	0.1076	0.0219	0.032	0.0616	0.0329	0.0296	0.0496	0.0236	0.0372	0.0307	0.0282	0.0236	0.0201	0.015	0.0457	0.0206	0.0164	0.0102	0.0388	0.037	0.0401	0.0157	0.0282	0.0143	0.0274	0.0203	0.013	0.0098	0.0526	0.0739	0.0228	0.0143	0.0193	0.0383	0.0288	0.0153	0.0185	0.0136
Mycosidine 4h MIC/2	0.023	0.0164	0.0203	0.017	0.0187	0.0174	0.1388	0.0149	0.019	0.0217	0.0239	0.0256	0.0186	0.0255	0.0138	0.0181	0.0381	0.0164	0.0106	0.0108	0.0162	0.0135	0.015	0.0204	0.017	0.0222	0.031	0.0439	0.0177	0.0212	0.0206	0.0199	0.0125	0.0133	0.0145	0.013	0.0172	0.0165	0.0256	0.0172	0.0234	0.0119	0.0174	0.0171	0.0128	0.0091	0.0156	0.011	0.017	0.0143	0.0402	0.0149	0.0205	0.018	0.0136	0.017	0.0122	0.0126	0.0325	0.0099	0.0129	0.0785	0.0224	0.013	0.0127	0.0101
Mycosidine 4h MIC	0.0312	0.0171	0.3072	0.0549	0.0752	0.0149	0.2265	0.023	0.02	0.0377	0.0401	0.0448	0.0198	0.0201	0.3303	0.0215	0.0803	0.0544	0.0172	0.0211	0.0153	0.0164	0.0211	0.0524	0.019	0.0191	0.0694	0.0509	0.0392	0.0478	0.0198	0.0617	0.0142	0.0188	0.0435	0.0239	0.0611	0.0326	0.035	0.3553	0.0643	0.4256	0.022	0.0346	0.0269	0.024	0.0185	0.0127	0.026	0.0163	0.0256	0.0203	0.0933	0.0651	0.0201	0.0148	0.0096	0.0158	0.0612	0.0407459307965937	0.0132	0.4338	0.2205	0.2431	0.0158	0.0158
Mycosidine 6h C0	0.0421	0.0215	0.0137	0.0169	0.0159	0.0071	0.0292	0.0103	0.0082	0.0204	0.0151	0.0203	0.0218	0.0246	0.0115	0.0085	0.0078	0.0194	0.0213	0.0133	0.0175	0.0119	0.0095	0.0086	0.0336	0.0315	0.0182	0.0289	0.0082	0.0127	0.0166	0.0097	0.01	0.0093	0.007	0.0111	0.0155	0.0733	0.0318	0.0165	0.0322	0.0094	0.0221	0.0153	0.0096	0.0082	0.0127	0.0046	0.0073	0.0253	0.0149	0.0149	0.0152	0.0117	0.0063	0.0083	0.0057	0.0111	0.0051	0.0154	0.0106	0.0472	0.039	0.0242	0.0128	0.0136
